iter	Passed	Remaining
335	58020	114659
336	58182	114466
337	58362	114307
338	58508	114083
339	58701	113949
340	58861	113752
341	59040	113593
342	59191	113377
343	59366	113209
344	59524	113009
345	59704	112852
346	59880	112684
347	60027	112465
348	60224	112338
349	60388	112150
350	60552	111962
351	60710	111763
352	60867	111561
353	61047	111402
354	61217	111226
355	61439	111143
356	61577	110908
357	61743	110723
358	61908	110538
359	62078	110361
360	62261	110207
361	62435	110037
362	62602	109855
363	62780	109693
364	62932	109485
365	63122	109343
366	63290	109163
367	63482	109023
368	63621	108793
369	63807	108645
370	63972	108460
371	64151	108298
372	64303	108091
373	64455	107884
374	64641	107735
375	64824	107581
376	64987	107393
377	65166	107232
378	65334	107051
379	65519	106900
380	65693	106729
381	65865	106557
382	66032	106375
383	66191	106182
384	66385	106044
385	66544	105851
386	66710	105668
387	66885	105500
388	67094	105385
389	67232	105158
390	67438	105039
391	67572	104806
392	67744	104632
393	67896	104429
394	68065	104251
395	68240	104083
396	68413	103912
397	68589	103746
398	68776	103596
399	68923	103385
400	69098	103217
401	69265	103036
402	69435	102861
403	69619	102706
404	69786	102526
405	69953	102346
406	70129	102178
407	70297	102000
408	70472	101831
409	70663	101686
410	70832	101509
411	71036	101381
412	71186	101178
413	71362	101011
414	71540	100846
415	71706	100664
416	71868	100477
417	72009	100262
418	72192	100105
419	72348	99909
420	72559	99790
421	72699	99574
422	72863	99390
423	73018	99194
424	73182	99011
425	73380	98874
426	73555	98705
427	73724	98528
428	73879	98333
429	74053	98163
430	74215	97977
431	74382	97799
432	74550	97621
433	74738	97470
434	74906	97292
435	75099	97147
436	75301	97013
437	75502	96877
438	75639	96659
439	75787	96456
440	75956	96280
441	76101	96074
442	76299	95933
443	76458	95744
444	76633	95576
445	76777	95368
446	76938	95183
447	77118	95021
448	77383	94962
449	77568	94805
450	77732	94622
451	77901	94447
452	78061	94259
453	78234	94088
454	78426	93939
455	78594	93761
456	78772	93596
457	78986	93472
458	79177	93322
459	79347	93147
460	79519	92974
461	79696	92806
462	79888	92656
463	80066	92491
464	80247	92328
465	80410	92143
466	80605	91997
467	80773	91819
468	80956	91658
469	81128	91485
470	81297	91308
471	81473	91139
472	81639	90959
473	81786	90758
474	81979	90609
475	82161	90446
476	82309	90247
477	82476	90068
478	82643	89890
479	82826	89729
480	83019	89578
481	83189	89403
482	83358	89225
483	83509	89030
484	83670	88846
485	83831	88661
486	83970	88453
487	84139	88277
488	84299	88092
489	84476	87924
490	84693	87798
491	84805	87563
492	84985	87399
493	85166	87234
494	85315	87039
495	85487	86866
496	85666	86701
497	85831	86521
498	85991	86336
499	86192	86192
500	86348	86003
501	86531	85841
502	86717	85683
503	86880	85501
504	87037	85314
505	87231	85162
506	87396	84982
507	87588	84829
508	87738	84636
509	87898	84451
510	88072	84280
511	88270	84133
512	88448	83966
513	88603	83777
514	88767	83596
515	88949	83433
516	89108	83248
517	89294	83088
518	89477	82925
519	89633	82738
520	89871	82626
521	89991	82405
522	90176	82244
523	90335	82060
524	90493	81874
525	90688	81723
526	90858	81548
527	91013	81360
528	91186	81188
529	91361	81018
530	91540	80851
531	91708	80675
532	91880	80503
533	92045	80324
534	92241	80172
535	92403	79991
536	92585	79827
537	92752	79650
538	92920	79473
539	93150	79350
540	93294	79154
541	93447	78965
542	93638	78808
543	93783	78612
544	93949	78435
545	94115	78257
546	94300	78095
547	94473	77923
548	94648	77752
549	94819	77579
550	94980	77397
551	95155	77227
552	95356	77078
553	95526	76903
554	95701	76733
555	95864	76553
556	96040	76384
557	96235	76229
558	96415	76063
559	96560	75868
560	96733	75697
561	96892	75514
562	97133	75394
563	97307	75223
564	97431	75013
565	97607	74844
566	97771	74665
567	97955	74501
568	98110	74315
569	98279	74140
570	98447	73964
571	98615	73789
572	98798	73624
573	98988	73465
574	99156	73289
575	99343	73127
576	99525	72962
577	99702	72793
578	99867	72614
579	100028	72434
580	100213	72271
581	100379	72094
582	100550	71920
583	100697	71729
584	100853	71545
585	101052	71391
586	101199	71202
587	101391	71042
588	101601	70897
589	101727	70691
590	101901	70520
591	102066	70343
592	102246	70175
593	102437	70016
594	102607	69841
595	102779	69669
596	102928	69481
597	103110	69315
598	103272	69135
599	103453	68968
600	103624	68795
601	103779	68611
602	103925	68422
603	104108	68256
604	104280	68083
605	104437	67901
606	104614	67732
607	104792	67563
608	105006	67417
609	105129	67213
610	105306	67044
611	105496	66883
612	105671	66712
613	105823	66527
614	106000	66357
615	106175	66187
616	106371	66029
617	106516	65840
618	106680	65662
619	106886	65511
620	107065	65342
621	107209	65153
622	107400	64992
623	107557	64810
624	107708	64625
625	107891	64458
626	108052	64280
627	108215	64101
628	108381	63926
629	108554	63754
630	108751	63596
631	108904	63412
632	109087	63246
633	109265	63077
634	109420	62895
635	109607	62731
636	109798	62569
637	109993	62409
638	110165	62237
639	110328	62059
640	110509	61892
641	110692	61725
642	110852	61546
643	111030	61376
644	111208	61207
645	111372	61031
646	111546	60859
647	111717	60685
648	111900	60519
649	112078	60349
650	112261	60183
651	112429	60008
652	112594	59832
653	112779	59666
654	112959	59497
655	113104	59310
656	113282	59141
657	113464	58974
658	113633	58799
659	113810	58629
660	113978	58454
661	114167	58290
662	114351	58124
663	114508	57943
664	114711	57787
665	114871	57608
666	115038	57433
667	115204	57257
668	115367	57080
669	115548	56911
670	115719	56738
671	115909	56574
672	116069	56396
673	116241	56223
674	116383	56036
675	116555	55863
676	116725	55690
677	116910	55523
678	117253	55431
679	117388	55241
680	117561	55069
681	117730	54894
682	117901	54721
683	118072	54548
684	118265	54385
685	118433	54210
686	118616	54042
687	118782	53866
688	118959	53695
689	119144	53528
690	119334	53363
691	119483	53180
692	119659	53009
693	119837	52838
694	120016	52669
695	120175	52490
696	120345	52316
697	120531	52149
698	120700	51975
699	120912	51819
700	121036	51626
701	121204	51451
702	121378	51279
703	121546	51104
704	121745	50943
705	121921	50771
706	122137	50616
707	122294	50438
708	122504	50280
709	122695	50115
710	122894	49952
711	123104	49795
712	123314	49636
713	123509	49472
714	123679	49298
715	123862	49129
716	124050	48962
717	124271	48808
718	124442	48634
719	124599	48455
720	124770	48281
721	124959	48114
722	125133	47941
723	125321	47774
724	125499	47603
725	125652	47422
726	125815	47245
727	126000	47077
728	126168	46901
729	126366	46738
730	126510	46554
731	126685	46382
732	126864	46211
733	127038	46038
734	127206	45863
735	127378	45690
736	127560	45520
737	127739	45349
738	127908	45174
739	128095	45006
740	128268	44833
741	128427	44655
742	128579	44475
743	128760	44304
744	128919	44126
745	129091	43953
746	129257	43777
747	129438	43607
748	129620	43437
749	129780	43260
750	129951	43086
751	130139	42918
752	130310	42744
753	130486	42572
754	130673	42403
755	130843	42229
756	131006	42053
757	131180	41880
758	131380	41716
759	131567	41547
760	131745	41376
761	131899	41196
762	132066	41021
763	132247	40851
764	132416	40676
765	132590	40504
766	132748	40326
767	132926	40154
768	133131	39991
769	133307	39819
770	133517	39656
771	133635	39467
772	133809	39294
773	133985	39122
774	134159	38949
775	134349	38781
776	134505	38603
777	134673	38428
778	134851	38257
779	135034	38086
780	135211	37914
781	135381	37740
782	135547	37565
783	135721	37392
784	135896	37220
785	136062	37045
786	136219	36867
787	136391	36694
788	136562	36520
789	136740	36348
790	136934	36181
791	137094	36004
792	137257	35828
793	137450	35660
794	137623	35487
795	137794	35314
796	137974	35142
797	138146	34969
798	138331	34799
799	138487	34621
800	138669	34451
801	138837	34276
802	138999	34100
803	139197	33933
804	139354	33756
805	139522	33582
806	139693	33408
807	139861	33234
808	140053	33065
809	140206	32887
810	140370	32712
811	140576	32547
812	140754	32375
813	140979	32213
814	141181	32047
815	141341	31871
816	141522	31699
817	141686	31524
818	141870	31353
819	142039	31179
820	142213	31006
821	142401	30836
822	142568	30661
823	142742	30488
824	142923	30317
825	143090	30142
826	143266	29969
827	143451	29799
828	143616	29624
829	143803	29453
830	143960	29277
831	144112	29099
832	144315	28932
833	144471	28755
834	144631	28579
835	144800	28405
836	144988	28235
837	145169	28063
838	145343	27890
839	145513	27716
840	145678	27542
841	145878	27373
842	146060	27202
843	146203	27023
844	146377	26850
845	146558	26678
846	146779	26513
847	146900	26331
848	147061	26155
849	147230	25981
850	147400	25808
851	147591	25637
852	147794	25469
853	148010	25303
854	148189	25131
855	148362	24958
856	148569	24790
857	148734	24615
858	148939	24447
859	149123	24275
860	149317	24105
861	149505	23934
862	149704	23765
863	149885	23593
864	150054	23418
865	150235	23246
866	150405	23072
867	150595	22901
868	150775	22729
869	150952	22556
870	151125	22382
871	151308	22210
872	151465	22034
873	151641	21861
874	151818	21688
875	152004	21516
876	152159	21340
877	152343	21168
878	152514	20994
879	152679	20819
880	152856	20646
881	153025	20472
882	153217	20301
883	153378	20126
884	153581	19956
885	153766	19784
886	153937	19610
887	154103	19436
888	154320	19268
889	154435	19087
890	154605	18913
891	154791	18741
892	154983	18570
893	155186	18400
894	155316	18221
895	155504	18049
896	155675	17875
897	155815	17698
898	156013	17527
899	156221	17357
900	156342	17178
901	156532	17006
902	156698	16832
903	156863	16658
904	157022	16483
905	157176	16307
906	157348	16133
907	157528	15961
908	157724	15789
909	157877	15614
910	158052	15440
911	158246	15269
912	158395	15093
913	158586	14921
914	158758	14748
915	158920	14573
916	159071	14397
917	159239	14224
918	159420	14051
919	159585	13877
920	159757	13703
921	159949	13531
922	160115	13357
923	160286	13183
924	160451	13009
925	160628	12836
926	160795	12662
927	160967	12488
928	161144	12315
929	161304	12141
930	161485	11968
931	161681	11796
932	161857	11623
933	162024	11449
934	162191	11275
935	162375	11102
936	162550	10929
937	162751	10757
938	162907	10582
939	163077	10409
940	163270	10236
941	163431	10062
942	163602	9888
943	163789	9716
944	163970	9543
945	164130	9368
946	164319	9196
947	164490	9022
948	164640	8847
949	164805	8673
950	164982	8500
951	165155	8327
952	165336	8154
953	165510	7980
954	165689	7807
955	165873	7634
956	166025	7459
957	166259	7289
958	166436	7115
959	166587	6941
960	166779	6768
961	166982	6595
962	167162	6422
963	167338	6249
964	167551	6077
965	167722	5903
966	167920	5730
967	168091	5556
968	168259	5382
969	168436	5209
970	168606	5035
971	168803	4862
972	168974	4688
973	169159	4515
974	169327	4341
975	169512	4168
976	169694	3994
977	169872	3821
978	170035	3647
979	170208	3473
980	170407	3300
981	170581	3126
982	170758	2953
983	170930	2779
984	171094	2605
985	171284	2432
986	171469	2258
987	171622	2084
988	171781	1910
989	171960	1736
990	172069	1562
991	172178	1388
992	172288	1214
993	172389	1040
994	172491	866
995	172593	693
996	172694	519
997	172795	346
998	172905	173
999	173021	0
